timestamp,value
1412038800,     -19
1412042400,     -18
1412046000,     -17
1412049600,     -16
1412053200,     -15
1412056800,     -15
1412060400,     -14
1412064000,     -12
1412067600,     -11
1412071200,      -9
1412074800,      -8
1412078400,      -7
1412082000,      -6
1412085600,      -5
1412089200,      -3
1412092800,      -2
1412096400,      -1
1412100000,       0
1412103600,       1
1412107200,       1
1412110800,       4
1412114400,       5
1412118000,       6
1412121600,       7
1412125200,       8
1412128800,       9
1412132400,      11
1412136000,      12
1412139600,      13
1412143200,      13
1412146800,      15
1412150400,      15
1412154000,      16
1412157600,      18
1412161200,      18
1412164800,      19
1412168400,      20
1412172000,      21
1412175600,      22
1412179200,      22
1412182800,      22
1412186400,      23
1412190000,      24
1412193600,      24
1412197200,      24
1412200800,      25
1412204400,      25
1412208000,      25
1412211600,      25
1412215200,      25
1412218800,      25
1412222400,      25
1412226000,      25
1412229600,      25
1412233200,      25
1412236800,      25
1412240400,      24
1412244000,      24
1412247600,      23
1412251200,      22
1412254800,      23
1412258400,      22
1412262000,      21
1412265600,      20
1412269200,      19
1412272800,      19
1412276400,      18
1412280000,      17
1412283600,      16
1412287200,      15
1412290800,      14
1412294400,      13
1412298000,      11
1412301600,      10
1412305200,       9
1412308800,       7
1412312400,       7
1412316000,       5
1412319600,       4
1412323200,       3
1412326800,       1
1412330400,       1
1412334000,       0
1412337600,      -1
1412341200,      -2
1412344800,      -3
1412348400,      -4
1412352000,      -5
1412355600,      -7
1412359200,      -8
1412362800,      -9
1412366400,     -10
1412370000,     -11
1412373600,     -12
1412377200,     -13
1412380800,     -14
1412384400,     -15
1412388000,     -15
1412391600,     -16
1412395200,     -17
1412398800,     -18
1412402400,     -19
1412406000,     -20
1412409600,     -20
1412413200,     -22
1412416800,     -21
1412420400,     -22
1412424000,     -22
1412427600,     -22
1412431200,     -23
1412434800,     -23
1412438400,     -23
1412442000,     -23
1412445600,     -24
1412449200,     -24
1412452800,     -24
1412456400,     -24
1412460000,     -24
1412463600,     -23
1412467200,     -23
1412470800,     -23
1412474400,     -22
1412478000,     -22
1412481600,     -21
1412485200,     -21
1412488800,     -20
1412492400,     -19
1412496000,     -18
1412499600,     -17
1412503200,     -17
1412506800,     -16
1412510400,     -15
1412514000,     -14
1412517600,     -13
1412521200,     -12
1412524800,     -11
1412528400,     -10
1412532000,      -9
1412535600,      -7
1412539200,      -7
1412542800,      -5
1412546400,      -4
1412550000,      -3
1412553600,      -2
1412557200,       0
1412560800,       1
1412564400,       1
1412568000,       2
1412571600,       3
1412575200,       4
1412578800,       6
1412582400,       7
1412586000,       8
1412589600,       8
1412593200,      10
1412596800,      11
1412600400,      12
1412604000,      13
1412607600,      14
1412611200,      15
1412614800,      15
1412618400,      16
1412622000,      17
1412625600,      18
1412629200,      19
1412632800,      19
1412636400,      20
1412640000,      21
1412643600,      22
1412647200,      22
1412650800,      22
1412654400,      22
1412658000,      23
1412661600,      23
1412665200,      23
1412668800,      23
1412672400,      23
1412676000,      24
1412679600,      23
1412683200,      23
1412686800,      24
1412690400,      23
1412694000,      23
1412697600,      22
1412701200,      23
1412704800,      22
1412708400,      22
1412712000,      21
1412715600,      20
1412719200,      20
1412722800,      18
1412726400,      19
1412730000,      18
1412733600,      17
1412737200,      16
1412740800,      15
1412744400,      14
1412748000,      13
1412751600,      13
1412755200,      11
1412758800,      10
1412762400,       9
1412766000,       8
1412769600,       7
1412773200,       6
1412776800,       4
1412780400,       4
1412784000,       2
1412787600,       1
1412791200,       0
1412794800,       0
1412798400,      -1
1412802000,      -2
1412805600,      -3
1412809200,      -4
1412812800,      -6
1412816400,      -7
1412820000,      -8
1412823600,      -9
1412827200,      -9
1412830800,     -11
1412834400,     -12
1412838000,     -12
1412841600,     -13
1412845200,     -14
1412848800,     -15
1412852400,     -15
1412856000,     -16
1412859600,     -16
1412863200,     -17
1412866800,     -18
1412870400,     -19
1412874000,     -20
1412877600,     -20
1412881200,     -20
1412884800,     -21
1412888400,     -21
1412892000,     -21
1412895600,     -21
1412899200,     -21
1412902800,     -22
1412906400,     -21
1412910000,     -22
1412913600,     -21
1412917200,     -21
1412920800,     -21
1412924400,     -21
1412928000,     -21
1412931600,     -20
1412935200,     -20
1412938800,     -20
1412942400,     -19
1412946000,     -18
1412949600,     -18
1412953200,     -17
1412956800,     -16
1412960400,     -15
1412964000,     -15
1412967600,     -14
1412971200,     -13
1412974800,     -12
1412978400,     -12
1412982000,     -11
1412985600,      -9
1412989200,      -8
