timestamp,value
1412038800,     2
1412042400,     2
1412046000,     3
1412049600,     2
1412053200,     2
1412056800,     2
1412060400,     2
1412064000,     2
1412067600,     2
1412071200,     2
1412074800,     2
1412078400,     2
1412082000,     2
1412085600,     2
1412089200,     2
1412092800,     2
1412096400,     2
1412100000,     2
1412103600,     2
1412107200,     2
1412110800,     2
1412114400,     2
1412118000,     2
1412121600,     2
1412125200,     2
1412128800,     1
1412132400,     2
1412136000,     2
1412139600,     2
1412143200,     2
1412146800,     2
1412150400,     2
1412154000,     2
1412157600,     2
1412161200,     2
1412164800,     2
1412168400,     1
1412172000,     2
1412175600,     2
1412179200,     2
1412182800,     2
1412186400,     2
1412190000,     2
1412193600,     2
1412197200,     2
1412200800,     1
1412204400,     2
1412208000,     1
1412211600,     1
1412215200,     2
1412218800,     2
1412222400,     2
1412226000,     2
1412229600,     2
1412233200,     2
1412236800,     2
1412240400,     2
1412244000,     2
1412247600,     2
1412251200,     2
1412254800,     3
1412258400,     1
1412262000,     2
1412265600,     1
1412269200,     1
1412272800,     2
1412276400,     2
1412280000,     1
1412283600,     1
1412287200,     2
1412290800,     2
1412294400,     1
1412298000,     2
1412301600,     2
1412305200,     2
1412308800,     2
1412312400,     1
1412316000,     1
1412319600,     1
1412323200,     2
1412326800,     2
1412330400,     1
1412334000,     1
1412337600,     2
1412341200,     2
1412344800,     2
1412348400,     2
1412352000,     2
1412355600,     2
1412359200,     2
1412362800,     2
1412366400,     2
1412370000,     1
1412373600,     1
1412377200,     2
1412380800,     2
1412384400,     2
1412388000,     2
1412391600,     1
1412395200,     1
1412398800,     2
1412402400,     2
1412406000,     1
1412409600,     2
1412413200,     2
1412416800,     1
1412420400,     1
1412424000,     1
1412427600,     2
1412431200,     1
1412434800,     2
1412438400,     1
1412442000,     1
1412445600,     1
1412449200,     1
1412452800,     2
1412456400,     2
1412460000,     2
1412463600,     1
1412467200,     2
1412470800,     2
1412474400,     2
1412478000,     1
1412481600,     2
1412485200,     1
1412488800,     2
1412492400,     1
1412496000,     2
1412499600,     2
1412503200,     1
1412506800,     2
1412510400,     1
1412514000,     2
1412517600,     2
