timestamp,value
1412038800,      241
1412042400,      229
1412046000,      218
1412049600,      205
1412053200,      187
1412056800,      185
1412060400,      134
1412064000,      143
1412067600,      140
1412071200,      126
1412074800,      103
1412078400,      113
1412082000,       61
1412085600,       56
1412089200,       63
1412092800,       21
1412096400,        0
1412100000,       -4
1412103600,      -34
1412107200,      -46
1412110800,      -61
1412114400,      -75
1412118000,     -137
1412121600,     -116
1412125200,     -175
1412128800,     -153
1412132400,     -155
1412136000,     -194
1412139600,     -223
1412143200,     -131
1412146800,     -241
1412150400,     -232
1412154000,     -250
1412157600,     -227
1412161200,     -277
1412164800,     -299
1412168400,     -302
1412172000,     -317
1412175600,     -315
1412179200,     -294
1412182800,     -350
1412186400,     -397
1412190000,     -377
1412193600,     -377
1412197200,     -393
1412200800,     -407
1412204400,     -411
1412208000,     -417
1412211600,     -433
1412215200,     -425
1412218800,     -447
1412222400,     -455
1412226000,     -433
1412229600,     -471
1412233200,     -503
1412236800,     -465
1412240400,     -487
1412244000,     -496
1412247600,     -502
1412251200,     -501
1412254800,     -517
1412258400,     -529
1412262000,     -520
1412265600,     -535
1412269200,     -552
1412272800,     -582
1412276400,     -559
1412280000,     -568
1412283600,     -539
1412287200,     -580
1412290800,     -596
1412294400,     -591
1412298000,     -600
1412301600,     -603
1412305200,     -620
1412308800,     -609
1412312400,     -621
1412316000,     -634
1412319600,     -626
1412323200,     -633
1412326800,     -639
1412330400,     -616
1412334000,     -641
1412337600,     -638
1412341200,     -646
1412344800,     -642
1412348400,     -636
1412352000,     -629
1412355600,     -630
1412359200,     -638
1412362800,     -624
1412366400,     -630
1412370000,     -617
1412373600,     -609
1412377200,     -591
1412380800,     -643
1412384400,     -587
1412388000,     -567
1412391600,     -560
1412395200,     -552
1412398800,     -548
1412402400,     -535
1412406000,     -523
1412409600,     -511
1412413200,     -489
1412416800,     -514
1412420400,     -477
1412424000,     -457
1412427600,     -468
1412431200,     -440
1412434800,     -416
1412438400,     -427
1412442000,     -408
1412445600,     -384
1412449200,     -393
1412452800,     -381
1412456400,     -369
1412460000,     -349
1412463600,     -363
1412467200,     -339
1412470800,     -305
1412474400,     -315
1412478000,     -307
1412481600,     -359
1412485200,     -274
1412488800,     -266
1412492400,     -241
1412496000,     -247
1412499600,     -244
1412503200,     -217
1412506800,     -213
1412510400,     -209
1412514000,     -183
1412517600,     -164
1412521200,     -181
1412524800,     -146
1412528400,     -150
1412532000,     -166
1412535600,     -102
1412539200,      -69
1412542800,      -68
1412546400,      -50
1412550000,      -40
1412553600,      -31
1412557200,       -2
1412560800,        2
1412564400,       31
1412568000,       54
1412571600,       80
1412575200,       86
1412578800,       91
1412582400,      149
1412586000,      131
1412589600,      153
1412593200,      162
1412596800,      172
1412600400,      194
1412604000,      204
1412607600,      222
1412611200,      238
1412614800,      249
1412618400,      281
1412622000,      280
1412625600,      297
1412629200,      284
1412632800,      314
1412636400,      323
1412640000,      356
1412643600,      357
1412647200,      354
1412650800,      368
1412654400,      392
1412658000,      388
1412661600,      398
1412665200,      414
1412668800,      420
1412672400,      417
1412676000,      461
1412679600,      447
1412683200,      413
1412686800,      430
1412690400,      463
1412694000,      455
1412697600,      484
1412701200,      488
1412704800,      486
1412708400,      505
1412712000,      514
1412715600,      518
1412719200,      519
1412722800,      537
1412726400,      541
1412730000,      549
1412733600,      566
1412737200,      562
1412740800,      557
1412744400,      577
1412748000,      580
1412751600,      595
1412755200,      598
1412758800,      600
1412762400,      635
1412766000,      610
1412769600,      619
1412773200,      612
1412776800,      620
1412780400,      622
1412784000,      615
1412787600,      642
1412791200,      670
1412794800,      651
1412798400,      640
1412802000,      690
1412805600,      648
1412809200,      639
1412812800,      644
1412816400,      638
1412820000,      624
1412823600,      624
1412827200,      626
1412830800,      606
1412834400,      609
1412838000,      602
1412841600,      556
1412845200,      586
1412848800,      596
1412852400,      565
1412856000,      558
1412859600,      550
1412863200,      541
1412866800,      527
1412870400,      512
1412874000,      515
1412877600,      497
1412881200,      478
1412884800,      489
1412888400,      486
1412892000,      457
1412895600,      458
1412899200,      417
1412902800,      408
1412906400,      395
1412910000,      398
1412913600,      375
1412917200,      369
1412920800,      355
1412924400,      353
1412928000,      339
1412931600,      343
1412935200,      302
1412938800,      308
1412942400,      325
1412946000,      292
1412949600,      276
1412953200,      256
1412956800,      253
1412960400,      245
1412964000,      216
1412967600,      218
1412971200,      216
1412974800,      187
1412978400,      180
1412982000,      155
1412985600,      144
1412989200,      136
1412992800,      112
1412996400,       97
1413000000,       83
1413003600,       34
1413007200,       49
1413010800,       26
1413014400,       22
1413018000,        4
1413021600,      -15
1413025200,      -32
1413028800,      -50
